"idhod","hodnota","stapro_kod","casz_cis","casz_kod","stavprace_cis","stavprace_kod","oceneni_cis","oceneni_kod","ocisteni_cis","ocisteni_kod","mesic","rok","mesicz","rokz","stapro_txt","casz_txt","stavprace_txt","oceneni_txt","ocisteni_txt"
"1267026988","93.5","5939","7626","C",,,"7603","P","7604","O","5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267034865","96.1","5939","7626","C","175","024","7603","P",,,"5","2020","5","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267040190","106.2","5939","7626","C",,,,,,,"3","2020","3","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","běžné ceny","neočištěno"
"1267048236","110.4","5939","7626","C","175","024",,,,,"3","2020","3","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","běžné ceny","neočištěno"
"1267033763","104.7","5939","7626","C","175","023",,,,,"3","2020","3","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","běžné ceny","neočištěno"
"1267040703","100.7","5939","7626","C","175","024","7603","P","7604","O","3","2020","3","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267054344","102.1","5939","7626","C",,,"7603","P",,,"3","2020","3","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","neočištěno"
"1267056100","104.3","5939","7626","C","175","024","7603","P","7604","P","3","2020","3","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267033177","100.3","5939","7626","C",,,"7603","P","7604","P","3","2020","3","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267051181","97.4","5939","7626","C","175","023","7603","P","7604","O","3","2020","3","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267044345","100.7","5939","7626","C","175","023","7603","P",,,"3","2020","3","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267038003","98.8","5939","7626","C","175","023","7603","P","7604","P","3","2020","3","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
